[-46.5855,126.809,-14.323]	6502.789162	[337.481,90.6191,-131.192]
[-43.102,127.023,-15.5731]	6502.798177	[357.061,35.8042,-135.593]
[-39.4463,126.826,-16.857]	6502.807308	[374.635,-9.43091,-138.404]
[-35.6291,126.235,-18.0929]	6502.8163	[396.18,-48.7025,-135.659]
[-31.6334,125.364,-19.3065]	6502.825296	[416.797,-78.8419,-133.712]
[-27.3615,124.221,-20.489]	6502.834662	[434.133,-109.023,-126.142]
[-22.9443,122.818,-21.7075]	6502.843665	[460.64,-132.491,-134.836]
[-18.3992,121.228,-22.7339]	6502.85243	[486.241,-155.067,-117.11]
[-13.5958,119.517,-23.7756]	6502.861786	[491.757,-167.417,-111.918]
[-8.75144,117.619,-24.7407]	6502.870796	[508.222,-185.785,-108.436]
[-3.77637,115.556,-25.7122]	6502.879831	[522.896,-205.867,-108.99]
[1.2214,113.306,-26.3417]	6502.888777	[530.615,-229.005,-72.413]
[6.26926,110.95,-27.0213]	6502.89791	[529.181,-238.141,-76.9086]
[11.2575,108.517,-27.624]	6502.906915	[530.107,-246.996,-70.2241]
[16.2075,106.026,-28.0477]	6502.915902	[529.083,-253.858,-50.7596]
[21.1401,103.447,-28.3169]	6502.925123	[519.974,-263.628,-32.1722]
[25.8644,100.797,-28.4292]	6502.934027	[514.446,-275.779,-18.0029]
[30.5221,98.0941,-28.4326]	6502.943028	[505.272,-280.854,-5.48245]
[35.0587,95.3401,-28.3104]	6502.95205	[493.497,-285.915,7.98257]
[39.5043,92.4878,-28.1313]	6502.961175	[480.389,-292.37,13.2892]
[43.7795,89.6211,-27.8077]	6502.970127	[471.893,-296.943,27.8317]
[47.9797,86.7327,-27.2824]	6502.979208	[459.998,-297.724,50.0447]
[52.0638,83.8387,-26.6596]	6502.98822	[452.19,-300.297,59.7492]
[56.0813,80.9404,-25.9965]	6502.997278	[444.209,-300.696,63.6571]
[60.0496,78.1033,-25.2726]	6503.006449	[435.142,-293.601,70.3127]
[63.8797,75.3681,-24.4595]	6503.015453	[428.556,-288.491,80.2178]
[67.6126,72.6912,-23.5186]	6503.024449	[419.291,-284.698,94.6421]
[71.2969,70.0513,-22.582]	6503.033421	[415.255,-283.159,94.8786]
[74.9257,67.4485,-21.5439]	6503.042585	[402.099,-276.146,105.05]
[78.449,64.9154,-20.5367]	6503.051619	[396.414,-272.854,102.175]
[81.791,62.5246,-19.3905]	6503.060564	[381.339,-261.675,117.814]
[85.0645,60.2722,-18.3799]	6503.069531	[373.073,-248.114,103.916]
[88.2275,58.1916,-17.3676]	6503.078653	[355.954,-228.517,104.125]
[91.1591,56.3498,-16.4335]	6503.087651	[336.856,-207.662,97.1488]
[93.7718,54.7414,-15.4051]	6503.096783	[300.284,-182.045,106.176]
[96.1461,53.3143,-14.4956]	6503.105825	[278.407,-165.427,95.2173]
[97.9581,52.0479,-13.4874]	6503.1147	[225.348,-151.778,106.539]
[29.1434,29.6294,5.80926]	6503.283695	[-554.746,-47.8147,63.4981]
[25.7779,29.3042,6.27392]	6503.294293	[-584.743,-55.1749,77.7114]
[22.335,28.8938,6.76774]	6503.304721	[-589.858,-65.5321,81.7259]
[18.4636,28.7279,8.70664]	6503.315822	[-603.74,-37.506,244.146]
[14.3638,28.6111,10.4182]	6503.326789	[-581.651,-27.675,204.779]
[9.69622,28.5839,12.0668]	6503.337568	[-557.233,-13.5319,160.687]
[3.04731,28.7523,14.0977]	6503.348167	[-526.082,11.6153,113.824]
[-3.81331,29.2026,15.8625]	6503.358545	[-495.879,42.6265,78.4709]
[-9.93166,29.9447,15.1441]	6503.368972	[-504.774,79.7718,-334.495]
[-14.9429,30.5452,18.0775]	6503.379391	[-446.673,71.874,771.786]
[-19.7591,31.3298,18.5754]	6503.389541	[-430.335,93.0747,-301.274]
[-24.0405,31.9501,19.2261]	6503.399791	[-370.203,75.262,15.6639]
[-27.6258,34.443,23.5096]	6503.409159	[-313.994,401.28,1280.03]
[-31.1435,37.2781,28.0308]	6503.418562	[-294.964,319.118,383.943]
[-39.3682,38.1061,18.9102]	6503.427946	[-386.133,259.866,-595.181]
[-39.9511,38.7822,24.6347]	6503.437153	[-431.692,113.866,-828.61]
[-43.7953,40.1245,22.6568]	6503.446157	[-373.77,185.176,-87.4642]
[-47.1385,41.6256,21.3999]	6503.45534	[-311.281,197.246,87.3498]
[-49.8701,43.4492,20.331]	6503.46428	[-249.578,212.324,18.153]
[-52.1185,45.6424,18.957]	6503.473285	[-208.474,245,-152.049]
[-53.8107,48.1996,17.7732]	6503.482415	[-158.074,272.345,-51.8198]
[-55.0187,51.055,16.48]	6503.491414	[-122.19,312.13,-131.952]
[-55.8742,54.1519,15.1612]	6503.500319	[-92.6473,352.416,-137.941]
[-56.484,57.5702,13.7312]	6503.509436	[-69.0125,384.155,-156.39]
[-56.7956,61.1531,12.2305]	6503.518305	[-41.6483,408.901,-170.818]
[-56.9006,64.9194,10.6317]	6503.52754	[-12.9056,413.56,-175.967]
[-56.7062,68.8173,9.01938]	6503.536488	[13.8493,434.999,-173.424]
[-56.3091,72.8587,7.35772]	6503.545586	[36.7076,440.554,-177.92]
[-55.6764,77.0263,5.67817]	6503.55467	[59.3918,446.872,-175.123]
[-54.8332,81.3186,3.96078]	6503.563708	[76.9108,455.113,-180.864]
[-53.8507,85.7021,2.22138]	6503.572804	[89.913,457.953,-181.679]
[-52.7477,90.1326,0.464222]	6503.581782	[101.223,463.199,-185.579]
[-51.5747,94.6075,-1.21753]	6503.5907	[110.006,470.473,-177.622]
[-50.3446,99.1307,-2.78979]	6503.599921	[116.544,465.159,-161.393]
[-49.1057,103.656,-4.27594]	6503.608945	[116.432,470.718,-155.894]
[-47.8539,108.128,-5.62986]	6503.617964	[118.926,466.28,-143.359]
[-46.5736,112.499,-6.83464]	6503.627077	[121.879,452.974,-127.931]
[-45.3547,116.789,-7.83669]	6503.635999	[117.14,453.699,-110.073]
[-44.1981,120.952,-8.62866]	6503.644895	[112.73,444.689,-89.1876]
[-43.0875,125.015,-9.43725]	6503.654167	[108.084,423.949,-87.873]
[-42.04,128.77,-9.9744]	6503.66298	[103.987,410.987,-64.1438]
[-41.0735,132.403,-10.343]	6503.672008	[96.1121,393.404,-45.0789]
[-40.2015,135.825,-10.6978]	6503.681169	[86.5247,369.329,-43.2113]
[-39.4129,138.943,-10.8031]	6503.690291	[78.7354,341.783,-18.1233]
[-38.749,141.826,-10.7228]	6503.69921	[67.6251,325.551,0.263765]
[-38.1473,144.483,-10.576]	6503.708501	[61.0119,292.715,9.19877]
[-37.6142,146.801,-10.2746]	6503.717786	[54.4709,260.168,24.222]
[-37.1475,148.747,-9.83324]	6503.727085	[48.2064,223.556,38.3707]
[-36.7686,150.328,-9.41604]	6503.736478	[39.427,186.108,35.6888]
[-36.4985,151.483,-8.83588]	6503.745839	[29.0746,145.146,51.7412]
[-36.2883,152.099,-8.18572]	6503.755031	[23.6101,94.6577,58.9427]
[-36.1605,152.322,-7.47953]	6503.764529	[15.0114,50.3694,65.1398]
[-36.0396,151.977,-6.72959]	6503.773898	[14.5197,-2.47571,69.3825]
[-35.921,151.125,-5.93992]	6503.783404	[14.0278,-52.0513,72.5368]
[-35.8265,149.861,-5.21296]	6503.793004	[11.5156,-93.2508,66.5741]
[-35.7368,148.086,-4.50178]	6503.802523	[11.0517,-145.86,65.9089]
[-160.317,105.801,-48.755]	6503.812154	[45.1902,13.0947,55.4309]
[-160.318,105.801,-48.7528]	6503.821781	[-37.3163,14.0003,70.8295]
[-160.324,105.808,-48.7434]	6503.831794	[-38.9285,71.9998,44.6687]
[-160.334,105.826,-48.7257]	6503.841531	[-25.6642,81.0941,42.1685]
[-160.338,105.836,-48.7114]	6503.851479	[28.558,-4.15805,82.3138]
[-160.34,105.843,-48.7005]	6503.861915	[4.62832,35.5373,70.1344]
[-160.338,105.854,-48.6733]	6503.871988	[108.202,-31.0944,96.9706]
[-160.329,105.864,-48.6354]	6503.882049	[79.8607,-24.2752,91.4774]
[-160.323,105.882,-48.5802]	6503.89256	[-69.4594,51.8424,90.5188]
[-160.31,105.898,-48.5114]	6503.902832	[75.421,-17.8056,110.196]
[-160.3,105.91,-48.4565]	6503.913292	[1.19033,-5.47987,107.887]
[-160.292,105.928,-48.3791]	6503.923469	[-82.4061,56.1528,106.181]
[-160.289,105.939,-48.331]	6503.933967	[-6.83789,26.7997,110.174]
[-160.288,105.951,-48.2864]	6503.944199	[-79.977,77.892,106.529]
[-160.29,105.971,-48.2202]	6503.954433	[-67.8184,65.4891,117.109]
[-160.301,106.01,-48.0766]	6503.974405	[-54.2953,26.6474,129.984]
[-160.31,106.032,-47.9974]	6503.984415	[-104.403,63.9828,131.067]
[-160.317,106.045,-47.9424]	6503.994166	[30.2404,-11.4492,141.644]
[-160.327,106.063,-47.8727]	6504.003918	[-98.4994,77.5738,109.427]
[-160.343,106.083,-47.7922]	6504.012996	[-123.356,10.2949,148.981]
[-160.365,106.105,-47.6808]	6504.022044	[-55.8398,-84.0837,176.275]
